,algorithm,similarity_measure,n_clusters,labels,execution_time,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,CNE Similarity,2,"[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 0 1
 1 1 1 1 1 1 0 1 1 1 0 1 1 0]",0.006694316864013672,0.10672152130357676,2.2374887782212403,2.2880823171938958,,,,0.2035340786152182,1.8427444230750748e-05,0.1223446531819911
1,fuzzy_c_means,CNE Similarity,2,"[0 0 1 1 1 1 0 0 1 0 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 1 1
 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1
 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 0 0 1 1
 1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0
 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0
 1 1 0 0 0 0 0 0 0 1 0 0 1 0]",0.0010001659393310547,0.08058254376021869,3.4441222962834495,2.21252680340099,,,,0.4862603678326722,6.825650959314792e-05,0.22076812027357307
2,dbscan,CNE Similarity,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,CNE Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.003009319305419922,0.11334435348422305,2.133891695131384,2.3229078254780373,,,,0.14871979805265056,1.2596955270998256e-05,0.0975988471094507
4,spectral,CNE Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.10240316390991211,0.06791111670041254,2.884032988096938,2.201201618663948,,,,0.2993148214929679,3.080489348594689e-05,0.16003510300182444
5,gmm,CNE Similarity,2,"[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0
 0 0 0 0 0 0 1 0 0 0 1 0 0 1]",0.14300012588500977,0.10672152130357676,2.2374887782212403,2.2880823171938958,,,,0.2035340786152182,1.8427444230750748e-05,0.1223446531819911
6,som,CNE Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0
 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1
 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0044939517974853516,0.07992339995645405,3.579420757447109,2.2438632253893247,,,,0.3152181752614497,3.319518149531949e-05,0.1657715016447116
7,kmeans,CNE Similarity,3,"[1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2 2 1 2 2 2 2 1 1 1 1 1 2 0 2
 2 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 2 0 1 1 0 1 0 0 0 2 0 1 2 1 2
 1 1 2 1 1 1 1 1 2 2 2 0 1 1 1 2 2 1 1 1 1 1 1 0 1 2 1 1 1 2 1 0 1 0 1 2 2
 2 1 2 2 1 1 1 1 0 0 1 1 1 1 0 2 1 1 1 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 2 2
 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0
 1 1 0 0 0 0 0 0 0 1 0 0 1 0]",0.006890535354614258,0.09388003131787959,2.8538656770826134,2.2792996914934407,,,,0.5500180310133429,8.814449288426113e-05,0.2896193179825706
8,fuzzy_c_means,CNE Similarity,3,"[2 1 0 0 0 0 2 1 0 2 0 1 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0
 0 1 1 1 1 1 1 1 1 0 0 2 0 0 1 1 1 0 0 0 2 0 0 1 1 0 2 0 1 1 1 0 2 0 0 0 0
 0 0 0 0 2 0 1 0 0 0 0 2 2 0 0 0 0 1 0 1 2 1 0 2 0 0 0 0 2 0 1 1 0 1 1 0 0
 0 0 0 0 0 0 1 1 2 2 1 1 1 1 2 0 1 0 2 1 1 1 1 1 1 1 1 0 0 0 2 0 0 1 1 0 0
 1 0 0 0 1 2 0 1 0 2 0 0 0 0 1 0 0 0 1 1 0 1 2 1 1 1 0 1 1 1 1 1 0 2 0 1 1
 0 1 2 1 2 2 1 1 1 0 1 1 1 1]",0.0025153160095214844,0.05870597203290899,3.1938776650439333,2.1747755754010996,,,,0.5922106022358457,0.00010472453572786815,0.2994435301500969
9,dbscan,CNE Similarity,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
