,algorithm,similarity_measure,n_clusters,labels,execution_time,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Cosine Similarity,2,"[0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0
 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0
 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1
 0 0 1 1 1 1 1 1 1 0 1 1 0 1]",0.006426811218261719,0.08456629824097205,3.2671505409567296,2.520189828407052,,,,0.4969347277316985,0.0,0.22366377402920648
1,fuzzy_c_means,Cosine Similarity,2,"[1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1
 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0
 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0
 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1
 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 1 0 1 1
 0 0 1 1 1 1 1 1 1 0 0 1 0 1]",0.0009996891021728516,0.07427305071371663,3.537021719663692,2.5088377393972867,,,,0.49170573386224303,0.0,0.22215114055069593
2,dbscan,Cosine Similarity,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,Cosine Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0
 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0030002593994140625,0.12740387534072314,1.5424922660328355,2.672349818076991,,,,0.11954561846375766,0.0,0.0830283487807195
4,spectral,Cosine Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.08359980583190918,0.07493841009216635,2.657645155471621,2.5155856883555705,,,,0.29383339343671117,0.0,0.15788445673391244
5,gmm,Cosine Similarity,2,"[0 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1
 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1
 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1
 0 1 0 1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 1 0 0 0 0]",0.09231925010681152,0.07782536865314713,3.283754582310058,2.5056757795368445,,,,0.4969347277316985,0.0,0.22366377402920648
6,som,Cosine Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0
 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0]",0.00599980354309082,0.08696927967684684,2.251972560175312,2.560789722333162,,,,0.19689866570501263,0.0,0.11938990899113174
7,kmeans,Cosine Similarity,3,"[2 1 2 2 2 2 0 1 2 2 2 2 1 2 2 1 2 2 0 2 2 2 2 2 2 2 0 0 2 1 1 1 1 2 1 1 1
 1 1 1 1 0 1 1 1 1 2 1 1 1 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2
 2 1 1 1 1 1 1 2 2 2 2 0 2 2 0 1 0 2 2 2 0 2 0 0 1 2 0 2 0 0 0 0 0 2 2 2 2
 2 2 2 2 0 2 2 2 2 2 2 0 2 2 2 2 2 1 2 1 2 2 2 0 2 2 2 2 2 2 1 0 2 0 1 2 2
 2 2 2 2 2 2 1 2 0 0 1 1 1 1 0 2 1 2 2 1 1 1 1 0 1 1 0 2 2 2 2 2 2 1 1 2 0
 0 2 2 2 1 2 2 1 2 0 2 2 2 2 2 2 2 2 0 1 2 1 0 1 1 1 2 0 1 1 0 0 2 0 2 1 1
 2 1 0 1 0 0 1 0 0 2 1 1 2 1]",0.006462812423706055,0.09825880082942859,2.8181871617953043,2.547355608332197,,,,0.6018391633609809,0.0,0.3090625856140921
8,fuzzy_c_means,Cosine Similarity,3,"[1 2 1 1 1 1 0 0 1 0 1 0 2 1 1 2 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 2 1 1 1 1 1
 1 1 1 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 1 2 1 1 1 1 2 2 2 1 1 0 1 1 0 2 2 1 1 1 0 1 0 0 2 1 0 0 0 2 2 0 0 1 1 1 1
 1 1 1 1 0 1 2 1 1 1 1 0 0 1 1 1 1 2 1 1 0 2 1 0 1 1 1 1 0 1 1 2 1 0 1 1 1
 1 1 1 1 1 1 1 2 0 0 1 1 1 1 0 1 1 1 1 2 2 2 2 0 1 1 0 1 1 1 0 1 1 2 2 1 0
 0 1 2 1 2 0 1 2 1 0 1 1 1 1 0 1 1 1 2 2 1 2 0 2 2 2 1 2 2 2 2 0 1 0 1 2 0
 1 1 0 0 0 0 2 0 0 1 2 2 1 2]",0.0019986629486083984,0.08793470107465703,2.7183449574368788,2.515395089852413,,,,0.5504147133068878,0.0,0.29192032961108466
9,dbscan,Cosine Similarity,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
