,algorithm,similarity_measure,n_clusters,labels,execution_time,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Jaccard Similarity,2,"[1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1
 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0
 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 1 0 1 1 1
 1 1 0 0 0 0 1 0 0 1 1 1 1 1]",0.007796764373779297,0.038053876436903916,4.385371657147216,1.780856644225357,,,,0.39307609087630724,4.670489268654218e-05,0.19217804215011158
1,fuzzy_c_means,Jaccard Similarity,2,"[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0
 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0
 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1
 0 0 1 1 1 1 1 1 1 0 1 1 0 1]",0.0009996891021728516,0.04051639772600197,4.803102907023772,1.7839906811020818,,,,0.4847097006851785,6.78341047317695e-05,0.2203151505424876
2,dbscan,Jaccard Similarity,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,Jaccard Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.00434422492980957,0.12377058379072377,1.0147692641765593,1.9705681417985679,,,,0.025243418680129824,1.865135748302028e-06,0.02465430158707521
4,spectral,Jaccard Similarity,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.09948277473449707,0.043454252291458356,3.970172976900375,1.795305346760753,,,,0.2883519653804544,2.9219365455155757e-05,0.15600424223992487
5,gmm,Jaccard Similarity,2,"[1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.15311336517333984,0.020216778566405302,3.5742110849810578,1.76316790422295,,,,0.1558240173097728,1.3309913431491172e-05,0.1009747360652454
6,som,Jaccard Similarity,2,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0
 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.005841255187988281,0.054764846349742394,3.241968737489429,1.8174513767682148,,,,0.19026325279480708,1.6943437041568612e-05,0.11660870146640673
7,kmeans,Jaccard Similarity,3,"[0 1 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0
 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 1 0 0 0 2 0 2 2 0 0 2 0 2 1 1 2 2 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 1 0 2 0 0 0
 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 0 0 0 1 1 1 1 2 0 0 2 0 0 0 2 0 0 1 1 0 2
 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 2 1 1 1 0 2 1 1 2 2 0 2 0 1 0
 0 0 2 0 2 2 1 2 2 0 1 2 0 1]",0.006002187728881836,0.05874888470034605,3.3364080766919835,1.8092126546189269,,,,0.4403173458348359,5.6734059905079814e-05,0.2482381761332272
8,fuzzy_c_means,Jaccard Similarity,3,"[2 0 2 2 2 1 1 2 2 2 2 1 0 1 1 0 2 1 1 2 2 2 1 1 1 2 1 1 1 0 0 0 0 2 0 2 0
 2 0 0 0 0 0 0 0 0 2 0 0 0 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2
 2 0 2 0 0 0 0 0 0 2 2 1 2 2 1 0 1 2 2 2 1 2 1 1 0 2 1 1 1 1 1 1 1 2 1 2 2
 2 1 2 2 1 1 0 2 2 2 2 1 2 2 2 2 2 0 1 2 0 0 2 1 2 2 2 2 2 2 2 1 2 1 0 2 2
 1 1 2 2 2 1 0 0 1 1 2 2 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0 1 2 0 2 1 1 0 0 1 1
 0 1 1 1 0 2 1 0 2 1 2 1 1 1 1 1 1 1 0 0 2 0 1 0 0 0 2 1 0 0 0 0 2 1 2 0 0
 2 0 1 0 1 1 0 0 0 2 0 0 0 0]",0.0020008087158203125,0.03210372789659733,4.495623092013704,1.772527446709197,,,,0.6601153984853949,0.00014005026889552161,0.3315706932375857
9,dbscan,Jaccard Similarity,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
