,algorithm,similarity_measure,n_clusters,labels,execution_time,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,dbscan,Geodesic Distance,26,"[-1  2  0 -1  1 -1  2 -1 -1  3  1  4 -1  5  5  0 -1  1  6  1  4  7 -1  8
  8  9 10 -1 11 -1 -1 12 -1  4 -1 13 14 14 14 -1 -1 -1 -1 -1  6  6  7 -1
 15 15 -1 17 17 -1 -1 -1 16 15 15 16 16 17 16 16 16 16 -1  4  4 -1  9 16
  2 16 16  2 14 -1 14 12 12 18 18  9 -1 -1 -1 -1 24 -1 -1 19 -1  9 13 11
 11 -1 -1 -1 13 11  0  2 -1 11 11 -1 20 -1 -1 -1 21 22 -1 -1 11  1 -1 23
 23 -1 -1 -1 -1  0 22 -1 -1 21 -1 -1 13 -1 25  9 -1  9 -1 -1 22 -1  2 19
 24  6 22 20 20 21 -1 -1 -1  5 -1 18 25  2 14 14 -1 -1  6 -1 -1 -1 13  7
  5  5 10 -1 -1  3  0 -1 -1  4  3  5  5  0 -1 23 11 -1  5  0 21 -1 -1  5
 -1 -1 13 -1 -1 -1 19  8 11  5 -1  0  7 -1 -1  0 24  5  5 16  0  7 24  0
 -1 19  2 11  7 10 -1  1 25 -1  2 -1 -1  0 -1  9  2 -1 15 -1]",0.001998424530029297,0.0815929479237576,1.1368727939957333,67.66568407245671,,,,0.6328164442841687,0.06123792492007633,0.3480166180497423
1,dbscan,Geodesic Distance,17,"[-1  1  0 -1  2 -1  1 -1 -1 -1  2  3 -1  4  4  0 -1 -1  5  2  3  6 -1 -1
 -1 12 -1 -1  7 -1 -1 -1 -1  3 -1  8  9  9  9 -1 -1 -1 -1 -1  5  5  6 -1
 10 10 -1 -1 -1 -1 -1 -1 11 10 10 11 11 -1 11 11 11 11 -1  3  3 -1 12 11
  1 11 11  1  9 -1  9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13 -1 12  8 14
 14 -1 -1 -1 -1 14  0 -1 -1 14  7 -1 -1 -1 -1 -1 16 15 -1 -1 14 -1 -1 -1
 -1 -1 -1 -1 -1  0 15 -1 -1 16 -1 -1  8 -1 -1 12 -1 12 -1 -1 15 -1 -1 13
 -1  5 15 -1 -1 16 -1 -1 -1  4 -1 -1 -1  1  9  9 -1 -1  5 -1 -1 -1  8  6
  4  4 -1 -1 -1 -1 -1 -1 -1  3 -1  4  4 -1 -1 -1  7 -1  4  0 16 -1 -1 -1
 -1 -1  8 -1 -1 -1 13 -1  7  4 -1  0  6 -1 -1  0 -1  4  4 11  0  6 -1  0
 -1 13  1 14  6 -1 -1  2 -1 -1  1 -1 -1  0 -1 12  1 -1 10 -1]",0.0020265579223632812,-0.0955338276213608,1.1967297445570018,66.97412466937098,,,,0.575910566173819,0.03692721114403584,0.31832467758991345
2,dbscan,Geodesic Distance,12,"[-1  0 11 -1 -1 -1  0 -1 -1 -1 -1  1 -1  2  2 11 -1 -1  5 -1  1  6 -1 -1
 -1  9 -1 -1 -1 -1 -1 -1 -1  1 -1  3  4  4  4 -1 -1 -1 -1 -1  5  5  6 -1
  7  7 -1 -1 -1 -1 -1 -1  8  7  7  8  8 -1  8  8  8  8 -1  1  1 -1  9  8
  0  8  8  0  4 -1  4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  9  3 10
 10 -1 -1 -1 -1 10 11 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 11 -1 -1 -1 -1 -1 -1  3 -1 -1  9 -1  9 -1 -1 -1 -1 -1 -1
 -1  5 -1 -1 -1 -1 -1 -1 -1  2 -1 -1 -1  0  4  4 -1 -1  5 -1 -1 -1  3  6
  2  2 -1 -1 -1 -1 -1 -1 -1  1 -1  2  2 -1 -1 -1 -1 -1  2 11 -1 -1 -1 -1
 -1 -1  3 -1 -1 -1 -1 -1 -1  2 -1 11  6 -1 -1 11 -1  2  2  8 11  6 -1 11
 -1 -1  0 10  6 -1 -1 -1 -1 -1  0 -1 -1 11 -1  9 -1 -1  7 -1]",0.00099945068359375,-0.19097076433638177,1.1504718518665291,67.16542739314832,,,,0.5506310854670032,0.05520166704974256,0.30056566013271935
3,dbscan,Geodesic Distance,6,"[-1 -1  3 -1 -1 -1  5 -1 -1 -1 -1 -1 -1  0  0 -1 -1 -1 -1 -1 -1  1 -1 -1
 -1  4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1
 -1 -1 -1 -1 -1 -1 -1 -1  2 -1 -1  2  2 -1  2  2  2  2 -1 -1 -1 -1  4  2
  5  2  2  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  4 -1 -1
 -1 -1 -1 -1 -1 -1  3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1  3 -1 -1 -1 -1 -1 -1 -1 -1 -1  4 -1  4 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1  5 -1 -1 -1 -1 -1 -1 -1 -1 -1  1
  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  0 -1 -1 -1 -1 -1 -1  3 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  3  1 -1 -1  3 -1  0  0  2  3  1 -1  3
 -1 -1  5 -1  1 -1 -1 -1 -1 -1  5 -1 -1  3 -1  4 -1 -1 -1 -1]",0.001999378204345703,-0.3531573635540215,1.2168837795310516,68.05509962359024,,,,0.46393797331410025,0.02021204837087511,0.21535398513073623
4,dbscan,Geodesic Distance,3,"[-1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  2  2 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0 -1  0  0  0  0 -1 -1 -1 -1 -1  0
 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1  2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1  2 -1 -1 -1 -1 -1 -1 -1 -1 -1  2  2 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  2  2  0  1 -1 -1  1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1]",0.0019996166229248047,-0.2634726101037237,1.2117598623980244,76.44834678025856,,,,0.4160115398485395,0.01023903362501603,0.16411773595254964
5,dbscan,Geodesic Distance,3,"[-1 -1  2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0 -1  0  0  0  0 -1 -1 -1 -1 -1  0
 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1  2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1  2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1 -1  2 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  2 -1 -1 -1  2 -1  1  1  0  2 -1 -1  2
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  2 -1 -1 -1 -1 -1 -1]",0.0010123252868652344,-0.2634726101037237,1.2117598623980244,76.44834678025856,,,,0.4160115398485395,0.01023903362501603,0.16411773595254964
6,dbscan,Geodesic Distance,2,"[-1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0 -1  0 -1  0  0 -1 -1 -1 -1 -1  0
 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1 -1 -1  0  1 -1 -1  1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1]",0.0014324188232421875,-0.2773999143326526,1.0739498603147948,88.24815428223782,,,,0.3898305084745763,0.002442999599426494,0.12117619263964018
7,dbscan,Geodesic Distance,1,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1  0  0 -1  0 -1  0  0 -1 -1 -1 -1 -1  0
 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",0.0010001659393310547,0.23101394069614056,0.6118652325983643,90.23576034508021,,,,0.3583483591777858,-0.011657147061007183,0.061904993268832434
8,dbscan,Geodesic Distance,10,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,dbscan,Geodesic Distance,11,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
