,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Jaccard Similarity,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fuzzy_c_means,Jaccard Similarity,0.0010023117065429688,2,"[1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 1
 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1
 1 1 0 0 0 0 0 0 0 1 1 0 0 1]",0.029366122704033906,5.364754238074822,1.7706687864370145,,,,0.4891453299675442,6.904920165697924e-05,0.22160896916787126
2,dbscan,Jaccard Similarity,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,Jaccard Similarity,0.0029997825622558594,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.12377058379072377,1.0147692641765593,1.9705681417985679,,,,0.025243418680129824,1.865135748302028e-06,0.02465430158707521
4,spectral,Jaccard Similarity,0.08172798156738281,2,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0
 0 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0
 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.043454252291458356,3.970172976900375,1.795305346760753,,,,0.2883519653804544,2.9219365455155757e-05,0.15600424223992487
5,gmm,Jaccard Similarity,0.12505555152893066,2,"[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1
 1 1 1 1 1 1 0 0 0 1 0 1 1 0]",0.056388894412101674,3.3690995163713375,1.8149212183398618,,,,0.23544897223223946,2.2207224408115472e-05,0.13557416463497154
6,som,Jaccard Similarity,0.004999876022338867,2,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 0
 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1
 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1
 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 0
 1 1 1 0 0 1 1 0 0 1 1 1 1 1]",0.04464405833501531,4.371186217742828,1.7972897833205834,,,,0.3450775333573747,3.799662583767459e-05,0.17621077126832327
7,kmeans,Jaccard Similarity,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fuzzy_c_means,Jaccard Similarity,0.0011665821075439453,3,"[1 1 0 1 1 2 2 1 1 0 1 2 2 1 1 1 1 1 2 1 1 1 1 2 2 1 2 2 2 1 1 1 1 1 1 1 1
 1 1 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 2 0 0 2 2 2 1 0 1 2 2 2 2 0 1 2 2 2 2 2 2 2 1 0 1 0
 0 2 0 1 2 2 1 1 1 1 1 2 1 1 1 0 0 0 2 1 0 0 0 2 1 1 1 1 2 0 1 2 1 2 1 0 0
 0 2 1 1 1 2 1 1 2 2 1 1 1 1 2 1 1 1 2 0 1 1 1 2 1 1 2 2 1 1 0 1 1 1 1 2 2
 2 2 0 2 0 2 2 1 1 2 1 2 1 2 2 2 2 1 2 1 1 0 2 1 1 1 1 2 0 1 2 2 1 2 1 1 2
 1 1 2 2 2 2 0 2 2 1 1 2 1 0]",0.03092849173449145,5.000382203852992,1.7708989442843268,,,,0.56473133790119,9.356129946158965e-05,0.2929408909256934
9,dbscan,Jaccard Similarity,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
