,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Levenshtein Distance,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fuzzy_c_means,Levenshtein Distance,0.004129886627197266,2,"[0 1 1 1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1
 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1 1
 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1
 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1
 1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0
 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
 1 0 0 0 0 1 0 0 0 1 1 0 1 0]",0.40912210220914075,1.0165133508023574,3.626976092560287,,,,0.5008294266137757,0.0,0.22478532047500918
2,dbscan,Levenshtein Distance,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,Levenshtein Distance,0.0031137466430664062,2,"[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.40634363004387825,0.6915928460101777,4.868494440074479,,,,0.0578074287774973,0.0,0.04772287113694389
4,spectral,Levenshtein Distance,0.07454490661621094,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",-0.1341729035461502,1.2791605702262006,2.5533078714808206,,,,0.00847457627118644,0.0,0.009972344225903576
5,gmm,Levenshtein Distance,0.1126103401184082,2,"[1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0
 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0
 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1
 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1
 0 1 1 1 1 0 1 1 1 0 0 1 0 1]",0.4112080865139964,1.0126848194624558,3.625625896261375,,,,0.501803101334295,0.0,0.22506503169107303
6,som,Levenshtein Distance,0.004998207092285156,2,"[0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1
 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1 0
 1 1 1 1 1 0 0 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0
 1 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 1
 0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0
 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
 1 0 0 0 0 1 0 0 0 1 1 0 1 0]",0.40457977870958967,1.021017997306793,3.6454677421201778,,,,0.49044356292823654,0.0,0.2217848351359674
7,kmeans,Levenshtein Distance,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fuzzy_c_means,Levenshtein Distance,0.007722616195678711,3,"[1 0 2 2 2 1 1 1 2 1 2 1 1 0 0 2 1 1 0 0 0 0 0 1 1 0 1 1 2 0 1 1 1 0 1 2 2
 2 2 0 0 1 1 1 1 1 0 2 0 0 2 2 2 0 0 0 1 2 2 0 0 0 0 0 0 0 1 2 2 1 1 1 0 0
 0 2 2 2 2 1 1 0 2 2 2 1 0 2 1 1 0 2 2 2 0 0 1 0 2 0 1 0 0 0 1 1 1 0 1 0 0
 2 0 0 0 0 0 0 0 1 1 0 1 1 2 2 0 0 2 0 2 0 2 0 0 0 2 0 2 0 2 0 0 2 0 1 2 0
 0 2 0 0 0 0 1 0 0 1 2 2 1 1 0 1 2 0 1 1 1 1 1 1 0 0 1 0 2 2 1 2 0 1 0 0 1
 1 1 2 1 1 1 1 1 2 1 0 0 0 1 1 0 1 0 1 1 0 1 1 2 1 1 1 1 1 1 1 1 2 1 0 1 1
 2 1 1 1 1 0 1 1 1 2 0 1 2 1]",0.39779593416422443,0.8809840238897378,3.5567439355781194,,,,0.6552830869094843,0.0,0.3291068424321493
9,dbscan,Levenshtein Distance,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
