,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
1,fuzzy_c_means,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
2,dbscan,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
3,hierarchical,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
4,spectral,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
5,gmm,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
6,som,Path Distance,0,2,[],0,0,0,0,0,0,0,0,0
7,kmeans,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
8,fuzzy_c_means,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
9,dbscan,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
10,hierarchical,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
11,spectral,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
12,gmm,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
13,som,Path Distance,0,3,[],0,0,0,0,0,0,0,0,0
14,kmeans,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
15,fuzzy_c_means,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
16,dbscan,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
17,hierarchical,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
18,spectral,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
19,gmm,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
20,som,Path Distance,0,4,[],0,0,0,0,0,0,0,0,0
21,kmeans,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
22,fuzzy_c_means,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
23,dbscan,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
24,hierarchical,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
25,spectral,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
26,gmm,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
27,som,Path Distance,0,5,[],0,0,0,0,0,0,0,0,0
28,kmeans,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
29,fuzzy_c_means,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
30,dbscan,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
31,hierarchical,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
32,spectral,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
33,gmm,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
34,som,Path Distance,0,6,[],0,0,0,0,0,0,0,0,0
35,kmeans,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
36,fuzzy_c_means,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
37,dbscan,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
38,hierarchical,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
39,spectral,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
40,gmm,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
41,som,Path Distance,0,7,[],0,0,0,0,0,0,0,0,0
42,kmeans,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
43,fuzzy_c_means,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
44,dbscan,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
45,hierarchical,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
46,spectral,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
47,gmm,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
48,som,Path Distance,0,8,[],0,0,0,0,0,0,0,0,0
49,kmeans,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
50,fuzzy_c_means,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
51,dbscan,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
52,hierarchical,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
53,spectral,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
54,gmm,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
55,som,Path Distance,0,9,[],0,0,0,0,0,0,0,0,0
56,kmeans,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
57,fuzzy_c_means,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
58,dbscan,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
59,hierarchical,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
60,spectral,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
61,gmm,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
62,som,Path Distance,0,10,[],0,0,0,0,0,0,0,0,0
63,kmeans,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
64,fuzzy_c_means,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
65,dbscan,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
66,hierarchical,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
67,spectral,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
68,gmm,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
69,som,Path Distance,0,11,[],0,0,0,0,0,0,0,0,0
70,kmeans,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
71,fuzzy_c_means,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
72,dbscan,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
73,hierarchical,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
74,spectral,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
75,gmm,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
76,som,Path Distance,0,12,[],0,0,0,0,0,0,0,0,0
77,kmeans,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
78,fuzzy_c_means,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
79,dbscan,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
80,hierarchical,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
81,spectral,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
82,gmm,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
83,som,Path Distance,0,13,[],0,0,0,0,0,0,0,0,0
84,kmeans,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
85,fuzzy_c_means,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
86,dbscan,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
87,hierarchical,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
88,spectral,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
89,gmm,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
90,som,Path Distance,0,14,[],0,0,0,0,0,0,0,0,0
91,kmeans,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
92,fuzzy_c_means,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
93,dbscan,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
94,hierarchical,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
95,spectral,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
96,gmm,Path Distance,0,15,[],0,0,0,0,0,0,0,0,0
