,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information
0,kmeans,Similarity Haversine,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fuzzy_c_means,Similarity Haversine,0.002401590347290039,2,"[1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1
 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 1
 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 1
 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 1 0 0 0 0]",0.10505837172949592,2.785859651674212,3.405327708332807,,,,0.5017670393076091,0.0010921357967877032,0.2173660203549564
2,dbscan,Similarity Haversine,0.0,2,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hierarchical,Similarity Haversine,0.0030002593994140625,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1
 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 1 0 0 0 1 1 0 0 0 0 0]",0.12383120993476032,2.164551809656908,3.5092791648867676,,,,0.26671474936891454,0.000630816750394331,0.14803274866671343
4,spectral,Similarity Haversine,0.06861376762390137,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1
 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.0839555033687533,2.2891819303061864,3.3673013926679327,,,,0.3008294266137757,0.0013257608271770936,0.1650285579184349
5,gmm,Similarity Haversine,0.10753273963928223,2,"[1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0
 0 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 0 0
 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0.09123523142796748,2.5447589262433774,3.380082101199597,,,,0.3861521817526145,0.0013556232851206767,0.19145634727204291
6,som,Similarity Haversine,0.00500035285949707,2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1
 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.09458078296768942,2.3914111612788913,3.4066308871206332,,,,0.32131265777136675,0.0006132874384799975,0.1672101981352265
7,kmeans,Similarity Haversine,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fuzzy_c_means,Similarity Haversine,0.0030031204223632812,3,"[0 2 2 0 2 0 2 2 0 0 2 2 2 0 0 2 0 0 2 2 2 0 0 0 0 0 2 2 0 2 2 2 2 2 2 0 2
 2 2 2 2 2 2 2 2 2 0 2 2 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 2 2 2 2 0 0 2 0
 0 2 2 2 2 2 2 2 2 0 0 2 0 0 2 2 2 0 0 0 2 0 0 2 0 0 2 0 2 2 2 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 2 2 2 0 2 0 0 0 0 0 0 2 2 0 2 2 0 0
 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 0 2 0 0 2 2 2 2 2 1 1 2 0 2 2 0 0 0 2 2 0 0
 2 0 2 0 2 1 0 2 0 2 0 0 0 0 2 0 0 0 2 2 0 1 2 2 2 2 0 2 2 2 2 2 0 2 0 2 2
 0 2 2 2 2 2 2 2 2 0 2 2 2 2]",0.03820319029749434,2.498199450331994,3.2430386460596643,,,,0.5226108907320591,0.001425056052739723,0.24522342524093962
9,dbscan,Similarity Haversine,0.0,3,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
